time,height_m,snr,wind_speed,vertical_velocity
2025-08-02 00:00:00,100,2.033333333333333,24.5,0.8333333333333334
2025-08-02 00:00:00,160,2.3,35.8,1.0
2025-08-02 00:00:00,220,2.45,25.200000000000003,0.5
2025-08-02 00:00:00,280,1.6,28.1,0.2
2025-08-02 00:00:00,340,1.95,12.899999999999999,0.15000000000000002
2025-08-02 00:00:00,580,1.4,15.4,0.0
2025-08-02 00:06:00,100,2.1666666666666665,23.866666666666664,1.0
2025-08-02 00:06:00,160,2.2,30.4,0.9
2025-08-02 00:06:00,220,1.9,23.549999999999997,0.9
2025-08-02 00:06:00,280,1.9,22.2,0.6
2025-08-02 00:06:00,340,1.9333333333333333,20.066666666666666,0.7333333333333334
2025-08-02 00:06:00,400,1.5,18.4,0.0
2025-08-02 00:06:00,460,1.7,19.1,0.7
2025-08-02 00:06:00,580,2.05,19.1,0.5
2025-08-02 00:06:00,820,1.9,14.4,0.8
2025-08-02 00:06:00,1060,1.8,17.6,0.3
2025-08-02 00:06:00,4300,,,0.0
2025-08-02 00:06:00,4420,,,0.1
2025-08-02 00:06:00,4540,0.5,,0.3
2025-08-02 00:06:00,4660,,,0.1
2025-08-02 00:12:00,100,2.533333333333333,27.566666666666666,0.6
2025-08-02 00:12:00,160,3.1,35.1,0.8
2025-08-02 00:12:00,220,2.65,28.1,0.75
2025-08-02 00:12:00,280,2.3,29.7,0.8
2025-08-02 00:12:00,340,2.0,21.46666666666667,0.5333333333333333
2025-08-02 00:12:00,400,2.0,24.9,0.7
2025-08-02 00:12:00,460,2.0,21.9,0.5
2025-08-02 00:12:00,520,2.2,28.7,0.1
2025-08-02 00:12:00,580,1.9,16.9,0.2
2025-08-02 00:12:00,820,1.8,13.9,0.2
2025-08-02 00:12:00,1060,1.9,18.5,0.0
2025-08-02 00:18:00,100,2.9,25.766666666666666,1.5999999999999999
2025-08-02 00:18:00,160,3.0,31.5,0.9
2025-08-02 00:18:00,220,4.1,32.15,1.85
2025-08-02 00:18:00,280,2.8,27.5,1.7
2025-08-02 00:18:00,340,3.1333333333333333,22.266666666666666,1.9333333333333333
2025-08-02 00:18:00,400,2.4,23.2,1.6
2025-08-02 00:18:00,460,1.7,25.25,2.0
2025-08-02 00:18:00,520,1.7,27.6,1.2
2025-08-02 00:18:00,580,2.9,22.400000000000002,1.4666666666666668
2025-08-02 00:18:00,640,1.7,23.7,0.8
2025-08-02 00:18:00,700,2.25,21.450000000000003,0.95
2025-08-02 00:18:00,760,1.3,20.9,0.6
2025-08-02 00:18:00,820,1.7333333333333334,21.03333333333333,1.1333333333333333
2025-08-02 00:18:00,880,1.0,14.3,0.6
2025-08-02 00:18:00,940,1.7000000000000002,18.4,0.6
2025-08-02 00:18:00,1000,1.0,13.8,0.5
